2015-03-19 00:37:19 t: 8.055761e+001, dt: 6.575805e-002, dT_cpu: 1.750e+000 s, dT_avg: 1.275e+000 s, Nc:     0, Nce:     0, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:37:24 t: 8.069391e+001, dt: 3.636678e-002, dT_cpu: 1.672e+000 s, dT_avg: 1.289e+000 s, Nc:     0, Nce:     0, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:37:29 t: 8.075786e+001, dt: 1.499648e-002, dT_cpu: 1.750e+000 s, dT_avg: 1.302e+000 s, Nc:     0, Nce:     4, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:37:34 t: 8.078148e+001, dt: 5.402893e-003, dT_cpu: 1.594e+000 s, dT_avg: 1.315e+000 s, Nc:     0, Nce:    40, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:37:40 t: 8.079232e+001, dt: 1.655439e-003, dT_cpu: 1.531e+000 s, dT_avg: 1.325e+000 s, Nc:     0, Nce:    88, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:37:46 t: 8.080254e+001, dt: 2.350093e-003, dT_cpu: 9.380e-001 s, dT_avg: 1.304e+000 s, Nc:     0, Nce:   160, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:37:51 t: 8.085208e+001, dt: 1.687765e-002, dT_cpu: 9.060e-001 s, dT_avg: 1.281e+000 s, Nc:     0, Nce:   222, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:37:57 t: 8.154188e+001, dt: 2.948201e-001, dT_cpu: 8.280e-001 s, dT_avg: 1.259e+000 s, Nc:     0, Nce:   222, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:38:02 t: 8.690173e+001, dt: 1.755159e+000, dT_cpu: 2.687e+000 s, dT_avg: 1.261e+000 s, Nc:     0, Nce:   222, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:38:08 t: 9.138930e+001, dt: 4.555169e-001, dT_cpu: 1.610e+000 s, dT_avg: 1.268e+000 s, Nc:     0, Nce:   222, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
