2015-03-18 14:44:32 t: 1.983359e+001, dt: 3.887611e-002, dT_cpu: 2.030e-001 s, dT_avg: 1.887e-001 s, Nc:     0, Nce:     0, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 14:44:37 t: 3.466810e+001, dt: 3.950069e-001, dT_cpu: 2.030e-001 s, dT_avg: 1.516e-001 s, Nc:     0, Nce:    10, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 14:44:42 t: 3.784688e+001, dt: 2.079584e-001, dT_cpu: 9.400e-002 s, dT_avg: 1.484e-001 s, Nc:     0, Nce:    21, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 14:44:48 t: 6.803223e+001, dt: 1.113104e-001, dT_cpu: 2.030e-001 s, dT_avg: 1.504e-001 s, Nc:     0, Nce:    21, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 14:44:53 t: 1.076418e+002, dt: 2.967223e+000, dT_cpu: 9.300e-002 s, dT_avg: 1.417e-001 s, Nc:     0, Nce:    21, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 14:44:58 t: 1.526700e+002, dt: 4.281624e-002, dT_cpu: 2.030e-001 s, dT_avg: 1.455e-001 s, Nc:     0, Nce:    21, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 14:45:03 t: 1.532804e+002, dt: 6.052648e-002, dT_cpu: 1.090e-001 s, dT_avg: 1.443e-001 s, Nc:     0, Nce:    49, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 14:45:08 t: 1.655098e+002, dt: 6.032878e-002, dT_cpu: 2.190e-001 s, dT_avg: 1.455e-001 s, Nc:     0, Nce:    49, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 14:45:13 t: 1.815452e+002, dt: 1.581958e+000, dT_cpu: 9.400e-002 s, dT_avg: 1.419e-001 s, Nc:     0, Nce:    62, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 14:45:18 t: 2.284979e+002, dt: 4.735561e-001, dT_cpu: 2.030e-001 s, dT_avg: 1.415e-001 s, Nc:     0, Nce:    62, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 14:45:23 t: 2.433419e+002, dt: 2.178924e+000, dT_cpu: 1.090e-001 s, dT_avg: 1.406e-001 s, Nc:     0, Nce:    62, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
