2015-03-18 16:21:35 t: 1.993399e+001, dt: 3.143249e-002, dT_cpu: 1.100e-001 s, dT_avg: 1.727e-001 s, Nc:     0, Nce:    42, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 16:21:40 t: 3.577800e+001, dt: 1.441087e-001, dT_cpu: 1.870e-001 s, dT_avg: 1.468e-001 s, Nc:     0, Nce:   121, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 16:21:45 t: 5.228925e+001, dt: 2.501875e+000, dT_cpu: 9.400e-002 s, dT_avg: 1.357e-001 s, Nc:     0, Nce:   248, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 16:21:50 t: 7.103004e+001, dt: 4.222007e-001, dT_cpu: 9.400e-002 s, dT_avg: 1.374e-001 s, Nc:     0, Nce:   248, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 16:21:56 t: 1.503702e+002, dt: 6.720611e-001, dT_cpu: 1.870e-001 s, dT_avg: 1.339e-001 s, Nc:     0, Nce:   248, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 16:22:01 t: 1.528905e+002, dt: 5.577695e-003, dT_cpu: 1.090e-001 s, dT_avg: 1.396e-001 s, Nc:     0, Nce:   423, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 16:22:06 t: 1.645371e+002, dt: 2.645305e-001, dT_cpu: 1.870e-001 s, dT_avg: 1.358e-001 s, Nc:     0, Nce:   589, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 16:22:11 t: 1.686318e+002, dt: 4.758198e-001, dT_cpu: 9.400e-002 s, dT_avg: 1.354e-001 s, Nc:     0, Nce:   743, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 16:22:16 t: 2.256877e+002, dt: 2.551247e-001, dT_cpu: 9.300e-002 s, dT_avg: 1.346e-001 s, Nc:     0, Nce:   743, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 16:22:21 t: 2.379225e+002, dt: 1.198745e+000, dT_cpu: 8.600e-002 s, dT_avg: 1.337e-001 s, Nc:     0, Nce:   743, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-18 16:22:26 t: 2.854284e+002, dt: 9.754756e-001, dT_cpu: 1.870e-001 s, dT_avg: 1.334e-001 s, Nc:     0, Nce:   743, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
