2015-03-19 00:05:31 t: 3.220973e+002, dt: 1.972579e+000, dT_cpu: 2.140e-001 s, dT_avg: 3.136e-001 s, Nc:     0, Nce:   433, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:05:37 t: 3.347147e+002, dt: 1.345568e+000, dT_cpu: 2.350e-001 s, dT_avg: 3.147e-001 s, Nc:     0, Nce:   433, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:05:42 t: 3.562631e+002, dt: 2.280024e-001, dT_cpu: 3.590e-001 s, dT_avg: 3.169e-001 s, Nc:     0, Nce:   433, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:05:47 t: 4.006492e+002, dt: 1.633532e+000, dT_cpu: 4.690e-001 s, dT_avg: 3.138e-001 s, Nc:     0, Nce:   433, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:05:52 t: 4.048429e+002, dt: 7.569915e-002, dT_cpu: 2.630e-001 s, dT_avg: 3.172e-001 s, Nc:     0, Nce:   454, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:05:57 t: 4.282667e+002, dt: 1.333389e+000, dT_cpu: 3.750e-001 s, dT_avg: 3.134e-001 s, Nc:     0, Nce:   471, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:06:02 t: 4.424172e+002, dt: 2.859977e+000, dT_cpu: 2.340e-001 s, dT_avg: 3.126e-001 s, Nc:     0, Nce:   471, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:06:08 t: 4.836817e+002, dt: 9.253560e-001, dT_cpu: 3.760e-001 s, dT_avg: 3.141e-001 s, Nc:     0, Nce:   471, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:06:13 t: 5.019110e+002, dt: 4.104164e+000, dT_cpu: 2.700e-001 s, dT_avg: 3.135e-001 s, Nc:     0, Nce:   471, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:06:18 t: 5.248772e+002, dt: 1.176957e-001, dT_cpu: 3.640e-001 s, dT_avg: 3.162e-001 s, Nc:     0, Nce:   471, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:06:23 t: 5.361994e+002, dt: 1.336402e+000, dT_cpu: 3.590e-001 s, dT_avg: 3.140e-001 s, Nc:     0, Nce:   511, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
