2015-03-15 20:35:04 t: 1.969226e+001, dt: 6.587380e-002, dT_cpu: 2.350e-001 s, dT_avg: 2.181e-001 s, Nc:     0, Nce:     0, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-15 20:35:09 t: 3.364008e+001, dt: 6.460251e-001, dT_cpu: 2.340e-001 s, dT_avg: 1.758e-001 s, Nc:     0, Nce:    89, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-15 20:35:14 t: 3.724950e+001, dt: 1.155801e-001, dT_cpu: 1.250e-001 s, dT_avg: 1.763e-001 s, Nc:     0, Nce:   175, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-15 20:35:19 t: 6.710630e+001, dt: 2.776377e-001, dT_cpu: 2.500e-001 s, dT_avg: 1.746e-001 s, Nc:     0, Nce:   175, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-15 20:35:24 t: 8.725532e+001, dt: 1.950186e+000, dT_cpu: 2.350e-001 s, dT_avg: 1.691e-001 s, Nc:     0, Nce:   175, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-15 20:35:29 t: 1.504494e+002, dt: 6.485798e-001, dT_cpu: 2.340e-001 s, dT_avg: 1.681e-001 s, Nc:     0, Nce:   175, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-15 20:35:35 t: 1.534650e+002, dt: 9.126292e-002, dT_cpu: 1.100e-001 s, dT_avg: 1.693e-001 s, Nc:     0, Nce:   280, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-15 20:35:40 t: 1.654666e+002, dt: 6.796645e-002, dT_cpu: 2.350e-001 s, dT_avg: 1.711e-001 s, Nc:     0, Nce:   280, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-15 20:35:45 t: 1.838817e+002, dt: 1.475677e+000, dT_cpu: 1.250e-001 s, dT_avg: 1.665e-001 s, Nc:     0, Nce:   376, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-15 20:35:50 t: 2.279278e+002, dt: 6.854685e-001, dT_cpu: 1.250e-001 s, dT_avg: 1.657e-001 s, Nc:     0, Nce:   376, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-15 20:35:55 t: 2.341411e+002, dt: 5.438622e-001, dT_cpu: 1.250e-001 s, dT_avg: 1.655e-001 s, Nc:     0, Nce:   376, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
